Molecule,full_id,label
MOL00012163,MOL00012163_1,1
MOL00012331,MOL00012331_1,1
MOL00012368,MOL00012368_16,1
MOL00012393,MOL00012393_1,1
MOL00012377,MOL00012377_2,1
MOL00012324,MOL00012324_15,1
MOL00011757,MOL00011757_2,1
MOL00012535,MOL00012535_25,1
MOL00012852,MOL00012852_24,1
MOL00012877,MOL00012877_2,1
MOL00012481,MOL00012481_1,1
MOL00013059,MOL00013059_11,1
MOL00012658,MOL00012658_19,1
MOL00012506,MOL00012506_39,1
MOL00012493,MOL00012493_25,1
MOL00012754,MOL00012754_14,1
MOL00013072,MOL00013072_55,1
MOL00012781,MOL00012781_3,1
MOL00013261,MOL00013261_2,1
MOL00013656,MOL00013656_1,1
MOL00013744,MOL00013744_37,1
MOL00013616,MOL00013616_1,1
MOL00013287,MOL00013287_6,1
MOL00013283,MOL00013283_1,1
MOL00013740,MOL00013740_20,1
MOL00013216,MOL00013216_23,1
MOL00013698,MOL00013698_1,1
MOL00013320,MOL00013320_77,1
MOL00013718,MOL00013718_75,1
MOL00013752,MOL00013752_6,1
MOL00014216,MOL00014216_32,1
MOL00014115,MOL00014115_1,1
MOL00013922,MOL00013922_6,1
MOL00013765,MOL00013765_69,1
MOL00014298,MOL00014298_2,1
MOL00013790,MOL00013790_26,1
MOL00014196,MOL00014196_3,1
MOL00013966,MOL00013966_1,1
MOL00014389,MOL00014389_3,1
MOL00014200,MOL00014200_9,1
MOL00014219,MOL00014219_45,1
MOL00013828,MOL00013828_22,1
MOL00014345,MOL00014345_6,1
MOL00014348,MOL00014348_62,1
MOL00013912,MOL00013912_21,1
MOL00014604,MOL00014604_24,1
MOL00014509,MOL00014509_26,1
MOL00014646,MOL00014646_1,1
MOL00014707,MOL00014707_1,1
MOL00014547,MOL00014547_55,1
MOL00014819,MOL00014819_1,1
MOL00014540,MOL00014540_76,1
MOL00014568,MOL00014568_5,1
MOL00014690,MOL00014690_97,1
MOL00014969,MOL00014969_8,1
MOL00014867,MOL00014867_9,1
MOL00015181,MOL00015181_28,1
MOL00015096,MOL00015096_44,1
MOL00015255,MOL00015255_11,1
MOL00015258,MOL00015258_74,1
MOL00014861,MOL00014861_27,1
MOL00015375,MOL00015375_10,1
MOL00015344,MOL00015344_10,1
MOL00015153,MOL00015153_82,1
MOL00015227,MOL00015227_24,1
MOL00015273,MOL00015273_1,1
MOL00014965,MOL00014965_18,1
MOL00014943,MOL00014943_40,1
MOL00015075,MOL00015075_69,1
MOL00014997,MOL00014997_2,1
MOL00015265,MOL00015265_2,1
MOL00015414,MOL00015414_5,1
MOL00015565,MOL00015565_1,1
MOL00015373,MOL00015373_33,1
MOL00015571,MOL00015571_2,1
MOL00015503,MOL00015503_47,1
MOL00016101,MOL00016101_1,1
MOL00016042,MOL00016042_5,1
MOL00015995,MOL00015995_37,1
MOL00016018,MOL00016018_46,1
MOL00015935,MOL00015935_2,1
MOL00000189-000140-03,MOL00000189-000140-03_1,0
MOL00000097-000077-02,MOL00000097-000077-02_1,0
MOL00000183-003763-02,MOL00000183-003763-02_1,0
MOL00000223-000088-04,MOL00000223-000088-04_1,0
MOL00000110-000115-04,MOL00000110-000115-04_1,0
MOL00000268-001922-04,MOL00000268-001922-04_1,0
MOL00000446-003569-02,MOL00000446-003569-02_1,0
MOL00000527-000030-03,MOL00000527-000030-03_1,0
MOL00000229-000378-03,MOL00000229-000378-03_1,0
MOL00000538-000424-04,MOL00000538-000424-04_1,0
MOL00000447-000384-03,MOL00000447-000384-03_1,0
MOL00000359-000497-04,MOL00000359-000497-04_1,0
MOL00000328-000040-04,MOL00000328-000040-04_1,0
MOL00000628-000396-02,MOL00000628-000396-02_1,0
MOL00000579-000398-03,MOL00000579-000398-03_1,0
MOL00000657-000484-03,MOL00000657-000484-03_1,0
MOL00000677-000122-03,MOL00000677-000122-03_1,0
MOL00000486-001916-02,MOL00000486-001916-02_1,0
MOL00000574-000596-04,MOL00000574-000596-04_1,0
MOL00000752-001354-03,MOL00000752-001354-03_1,0
MOL00000616-000258-04,MOL00000616-000258-04_1,0
MOL00000823-000029-04,MOL00000823-000029-04_1,0
MOL00000639-000603-04,MOL00000639-000603-04_1,0
MOL00000832-001537-02,MOL00000832-001537-02_1,0
MOL00000779-000012-04,MOL00000779-000012-04_1,0
MOL00000612-000936-03,MOL00000612-000936-03_1,0
MOL00000818-000771-04,MOL00000818-000771-04_1,0
MOL00000863-001245-04,MOL00000863-001245-04_1,0
MOL00000971-000312-03,MOL00000971-000312-03_1,0
MOL00000555-001039-02,MOL00000555-001039-02_1,0
MOL00000957-002404-03,MOL00000957-002404-03_1,0
MOL00000923-001055-04,MOL00000923-001055-04_1,0
MOL00001040-000299-03,MOL00001040-000299-03_1,0
MOL00001035-002236-03,MOL00001035-002236-03_1,0
MOL00001244-000403-02,MOL00001244-000403-02_1,0
MOL00001270-000056-02,MOL00001270-000056-02_1,0
MOL00001333-000690-03,MOL00001333-000690-03_1,0
MOL00001284-000567-04,MOL00001284-000567-04_1,0
MOL00001102-000047-04,MOL00001102-000047-04_1,0
MOL00001100-000351-02,MOL00001100-000351-02_1,0
MOL00001545-000644-04,MOL00001545-000644-04_1,0
MOL00001616-002527-02,MOL00001616-002527-02_1,0
MOL00001613-001186-02,MOL00001613-001186-02_1,0
MOL00001432-001227-03,MOL00001432-001227-03_1,0
MOL00001470-001356-04,MOL00001470-001356-04_1,0
MOL00001622-000198-04,MOL00001622-000198-04_1,0
MOL00001683-000527-04,MOL00001683-000527-04_1,0
MOL00001611-000004-03,MOL00001611-000004-03_1,0
MOL00001692-001835-03,MOL00001692-001835-03_1,0
MOL00001659-000402-03,MOL00001659-000402-03_1,0
MOL00001524-001424-03,MOL00001524-001424-03_1,0
MOL00001733-000620-03,MOL00001733-000620-03_1,0
MOL00001689-000098-04,MOL00001689-000098-04_1,0
MOL00001853-000428-02,MOL00001853-000428-02_1,0
MOL00001957-000282-02,MOL00001957-000282-02_1,0
MOL00001812-001526-03,MOL00001812-001526-03_1,0
MOL00001884-000606-03,MOL00001884-000606-03_1,0
MOL00001988-001237-03,MOL00001988-001237-03_1,0
MOL00002332-000125-02,MOL00002332-000125-02_1,0
MOL00002359-001324-03,MOL00002359-001324-03_1,0
MOL00002036-000166-02,MOL00002036-000166-02_1,0
MOL00002651-001243-03,MOL00002651-001243-03_1,0
MOL00002565-001443-04,MOL00002565-001443-04_1,0
MOL00002508-001755-04,MOL00002508-001755-04_1,0
MOL00002246-000786-04,MOL00002246-000786-04_1,0
MOL00002745-000076-02,MOL00002745-000076-02_1,0
MOL00002080-000882-04,MOL00002080-000882-04_1,0
MOL00002665-001856-04,MOL00002665-001856-04_1,0
MOL00002822-000222-03,MOL00002822-000222-03_1,0
MOL00003223-000460-02,MOL00003223-000460-02_1,0
MOL00003007-001173-03,MOL00003007-001173-03_1,0
MOL00002675-000046-02,MOL00002675-000046-02_1,0
MOL00002524-000348-03,MOL00002524-000348-03_1,0
MOL00002930-000062-03,MOL00002930-000062-03_1,0
MOL00003185-000482-04,MOL00003185-000482-04_1,0
MOL00003448-002993-03,MOL00003448-002993-03_1,0
MOL00003238-001018-03,MOL00003238-001018-03_1,0
MOL00002937-001766-03,MOL00002937-001766-03_1,0
MOL00003319-001595-03,MOL00003319-001595-03_1,0
MOL00003257-000105-03,MOL00003257-000105-03_1,0
MOL00003345-000927-03,MOL00003345-000927-03_1,0
MOL00002921-000288-04,MOL00002921-000288-04_1,0
MOL00003536-001553-02,MOL00003536-001553-02_1,0
MOL00003324-000103-03,MOL00003324-000103-03_1,0
MOL00003694-000845-04,MOL00003694-000845-04_1,0
MOL00003833-001259-03,MOL00003833-001259-03_1,0
MOL00003711-001139-03,MOL00003711-001139-03_1,0
MOL00004224-000466-04,MOL00004224-000466-04_1,0
MOL00004145-000030-00,MOL00004145-000030-00_1,0
MOL00004221-001822-03,MOL00004221-001822-03_1,0
MOL00004212-001093-04,MOL00004212-001093-04_1,0
MOL00003979-000018-02,MOL00003979-000018-02_1,0
MOL00003991-001403-04,MOL00003991-001403-04_1,0
MOL00004191-003664-02,MOL00004191-003664-02_1,0
MOL00004282-000053-03,MOL00004282-000053-03_1,0
MOL00004703-000343-04,MOL00004703-000343-04_1,0
MOL00004399-000562-02,MOL00004399-000562-02_1,0
MOL00003863-000002-03,MOL00003863-000002-03_1,0
MOL00004277-000010-04,MOL00004277-000010-04_1,0
MOL00004114-003992-02,MOL00004114-003992-02_1,0
MOL00004662-000959-03,MOL00004662-000959-03_1,0
MOL00004010-001672-03,MOL00004010-001672-03_1,0
MOL00004844-000834-02,MOL00004844-000834-02_1,0
MOL00005210-001389-03,MOL00005210-001389-03_1,0
MOL00004989-000053-03,MOL00004989-000053-03_1,0
MOL00005583-000063-03,MOL00005583-000063-03_1,0
MOL00004646-000444-04,MOL00004646-000444-04_1,0
MOL00004527-000006-04,MOL00004527-000006-04_1,0
MOL00004717-001834-03,MOL00004717-001834-03_1,0
MOL00004388-000401-02,MOL00004388-000401-02_1,0
MOL00005686-001822-04,MOL00005686-001822-04_1,0
MOL00005077-000040-04,MOL00005077-000040-04_1,0
MOL00006079-000346-02,MOL00006079-000346-02_1,0
MOL00006091-001261-04,MOL00006091-001261-04_1,0
MOL00006059-001649-03,MOL00006059-001649-03_1,0
MOL00005457-000001-03,MOL00005457-000001-03_1,0
MOL00006128-001953-03,MOL00006128-001953-03_1,0
MOL00005994-000036-03,MOL00005994-000036-03_1,0
MOL00006116-000126-02,MOL00006116-000126-02_1,0
MOL00005654-000714-03,MOL00005654-000714-03_1,0
MOL00006248-000346-02,MOL00006248-000346-02_1,0
MOL00006082-001412-02,MOL00006082-001412-02_1,0
MOL00006225-000399-04,MOL00006225-000399-04_1,0
MOL00006474-001510-03,MOL00006474-001510-03_1,0
MOL00006385-000942-03,MOL00006385-000942-03_1,0
MOL00006465-000031-02,MOL00006465-000031-02_1,0
MOL00006945-000887-03,MOL00006945-000887-03_1,0
MOL00006351-001568-02,MOL00006351-001568-02_1,0
MOL00006595-000602-04,MOL00006595-000602-04_1,0
MOL00006618-000116-04,MOL00006618-000116-04_1,0
MOL00006994-001978-04,MOL00006994-001978-04_1,0
MOL00006943-000713-03,MOL00006943-000713-03_1,0
MOL00006875-001327-02,MOL00006875-001327-02_1,0
MOL00007317-000104-04,MOL00007317-000104-04_1,0
MOL00007379-003243-02,MOL00007379-003243-02_1,0
MOL00007241-001978-04,MOL00007241-001978-04_1,0
MOL00007583-000270-02,MOL00007583-000270-02_1,0
MOL00007656-002199-03,MOL00007656-002199-03_1,0
MOL00007590-001495-03,MOL00007590-001495-03_1,0
MOL00007539-000628-03,MOL00007539-000628-03_1,0
MOL00007686-002212-04,MOL00007686-002212-04_1,0
MOL00007291-001944-04,MOL00007291-001944-04_1,0
MOL00007659-001908-02,MOL00007659-001908-02_1,0
MOL00007811-001947-04,MOL00007811-001947-04_1,0
MOL00007772-001500-02,MOL00007772-001500-02_1,0
MOL00007857-000033-00,MOL00007857-000033-00_1,0
MOL00007901-001154-03,MOL00007901-001154-03_1,0
MOL00008024-000179-04,MOL00008024-000179-04_1,0
MOL00007931-000548-04,MOL00007931-000548-04_1,0
MOL00008136-001492-04,MOL00008136-001492-04_1,0
MOL00007882-000515-04,MOL00007882-000515-04_1,0
MOL00007805-000042-03,MOL00007805-000042-03_1,0
MOL00007788-000239-04,MOL00007788-000239-04_1,0
MOL00008068-003652-02,MOL00008068-003652-02_1,0
MOL00008182-000510-04,MOL00008182-000510-04_1,0
MOL00007858-001189-02,MOL00007858-001189-02_1,0
MOL00008128-001456-04,MOL00008128-001456-04_1,0
MOL00008285-003438-02,MOL00008285-003438-02_1,0
MOL00008917-000088-03,MOL00008917-000088-03_1,0
MOL00008260-000032-03,MOL00008260-000032-03_1,0
MOL00008393-001715-03,MOL00008393-001715-03_1,0
MOL00009098-000872-03,MOL00009098-000872-03_1,0
MOL00008468-002074-03,MOL00008468-002074-03_1,0
MOL00009011-001318-03,MOL00009011-001318-03_1,0
MOL00009037-001006-04,MOL00009037-001006-04_1,0
MOL00008966-000037-02,MOL00008966-000037-02_1,0
MOL00009051-000012-03,MOL00009051-000012-03_1,0
MOL00009290-000001-03,MOL00009290-000001-03_1,0
MOL00009060-001481-04,MOL00009060-001481-04_1,0
MOL00009324-000799-04,MOL00009324-000799-04_1,0
MOL00008885-001274-02,MOL00008885-001274-02_1,0
MOL00009333-001028-03,MOL00009333-001028-03_1,0
MOL00009342-000340-03,MOL00009342-000340-03_1,0
MOL00009266-001390-03,MOL00009266-001390-03_1,0
MOL00009224-001860-03,MOL00009224-001860-03_1,0
MOL00010185-001316-02,MOL00010185-001316-02_1,0
MOL00010038-001015-04,MOL00010038-001015-04_1,0
MOL00009350-001670-03,MOL00009350-001670-03_1,0
MOL00010258-000038-04,MOL00010258-000038-04_1,0
MOL00010321-001054-03,MOL00010321-001054-03_1,0
MOL00010660-000404-03,MOL00010660-000404-03_1,0
MOL00010543-000610-03,MOL00010543-000610-03_1,0
MOL00010061-000271-03,MOL00010061-000271-03_1,0
MOL00010590-000001-04,MOL00010590-000001-04_1,0
MOL00010706-000652-03,MOL00010706-000652-03_1,0
MOL00010581-001165-03,MOL00010581-001165-03_1,0
MOL00010830-000532-02,MOL00010830-000532-02_1,0
MOL00011167-000651-02,MOL00011167-000651-02_1,0
MOL00010829-000077-02,MOL00010829-000077-02_1,0
MOL00011219-000747-04,MOL00011219-000747-04_1,0
MOL00010855-000277-03,MOL00010855-000277-03_1,0
MOL00010806-000261-03,MOL00010806-000261-03_1,0
MOL00011044-000971-03,MOL00011044-000971-03_1,0
MOL00011276-000231-02,MOL00011276-000231-02_1,0
MOL00011311-001513-02,MOL00011311-001513-02_1,0
MOL00010803-001018-02,MOL00010803-001018-02_1,0
MOL00011273-001089-03,MOL00011273-001089-03_1,0
MOL00011346-000123-04,MOL00011346-000123-04_1,0
MOL00011187-002943-04,MOL00011187-002943-04_1,0
MOL00011138-000673-02,MOL00011138-000673-02_1,0
MOL00011132-000807-04,MOL00011132-000807-04_1,0
MOL00011394-000759-04,MOL00011394-000759-04_1,0
MOL00011393-001657-02,MOL00011393-001657-02_1,0
MOL00011534-000001-02,MOL00011534-000001-02_1,0
MOL00011815-001005-04,MOL00011815-001005-04_1,0
MOL00011729-000213-02,MOL00011729-000213-02_1,0
MOL00011881-004148-02,MOL00011881-004148-02_1,0
MOL00011914-000111-03,MOL00011914-000111-03_1,0
MOL00011539-000938-04,MOL00011539-000938-04_1,0
MOL00011657-000260-03,MOL00011657-000260-03_1,0
MOL00011654-000856-04,MOL00011654-000856-04_1,0
MOL00012061-000398-02,MOL00012061-000398-02_1,0
MOL00011757-000084-04,MOL00011757-000084-04_1,0
MOL00012039-000716-02,MOL00012039-000716-02_1,0
MOL00012066-000850-04,MOL00012066-000850-04_1,0
MOL00012368-000557-04,MOL00012368-000557-04_1,0
MOL00012011-000207-04,MOL00012011-000207-04_1,0
MOL00012282-001524-03,MOL00012282-001524-03_1,0
MOL00012337-000617-04,MOL00012337-000617-04_1,0
MOL00012393-002564-03,MOL00012393-002564-03_1,0
MOL00012189-000054-04,MOL00012189-000054-04_1,0
MOL00012535-000791-03,MOL00012535-000791-03_1,0
MOL00012163-001219-04,MOL00012163-001219-04_1,0
MOL00012481-001150-04,MOL00012481-001150-04_1,0
MOL00012377-000045-00,MOL00012377-000045-00_1,0
MOL00012493-000578-03,MOL00012493-000578-03_1,0
MOL00012331-001334-03,MOL00012331-001334-03_1,0
MOL00012506-001470-03,MOL00012506-001470-03_1,0
MOL00012324-002120-03,MOL00012324-002120-03_1,0
MOL00012877-001134-03,MOL00012877-001134-03_1,0
MOL00012658-001218-04,MOL00012658-001218-04_1,0
MOL00013059-000002-03,MOL00013059-000002-03_1,0
MOL00012852-000865-02,MOL00012852-000865-02_1,0
MOL00012754-002104-03,MOL00012754-002104-03_1,0
MOL00012781-000045-00,MOL00012781-000045-00_1,0
MOL00013261-000514-04,MOL00013261-000514-04_1,0
MOL00013656-000538-02,MOL00013656-000538-02_1,0
MOL00013616-000326-02,MOL00013616-000326-02_1,0
MOL00013072-001961-03,MOL00013072-001961-03_1,0
MOL00013287-000016-04,MOL00013287-000016-04_1,0
MOL00013283-000443-02,MOL00013283-000443-02_1,0
MOL00013790-001738-03,MOL00013790-001738-03_1,0
MOL00013744-000458-03,MOL00013744-000458-03_1,0
MOL00013740-000626-03,MOL00013740-000626-03_1,0
MOL00013320-000094-04,MOL00013320-000094-04_1,0
MOL00013765-000013-03,MOL00013765-000013-03_1,0
MOL00013718-000601-02,MOL00013718-000601-02_1,0
MOL00014115-001541-03,MOL00014115-001541-03_1,0
MOL00013216-000351-02,MOL00013216-000351-02_1,0
MOL00014216-000543-03,MOL00014216-000543-03_1,0
MOL00013698-000671-03,MOL00013698-000671-03_1,0
MOL00013828-001556-03,MOL00013828-001556-03_1,0
MOL00013922-000059-03,MOL00013922-000059-03_1,0
MOL00013966-000370-04,MOL00013966-000370-04_1,0
MOL00013912-000035-04,MOL00013912-000035-04_1,0
MOL00014389-000342-03,MOL00014389-000342-03_1,0
MOL00014196-001383-02,MOL00014196-001383-02_1,0
MOL00014345-000974-04,MOL00014345-000974-04_1,0
MOL00014200-001430-03,MOL00014200-001430-03_1,0
MOL00014509-000734-02,MOL00014509-000734-02_1,0
MOL00013752-001215-04,MOL00013752-001215-04_1,0
MOL00014219-001620-03,MOL00014219-001620-03_1,0
MOL00014604-001186-03,MOL00014604-001186-03_1,0
MOL00014298-001748-03,MOL00014298-001748-03_1,0
MOL00014547-000691-03,MOL00014547-000691-03_1,0
MOL00014348-000812-02,MOL00014348-000812-02_1,0
MOL00014540-001494-02,MOL00014540-001494-02_1,0
MOL00014568-000623-03,MOL00014568-000623-03_1,0
MOL00014819-000474-02,MOL00014819-000474-02_1,0
MOL00014969-000425-03,MOL00014969-000425-03_1,0
MOL00014861-001482-04,MOL00014861-001482-04_1,0
MOL00014707-000666-02,MOL00014707-000666-02_1,0
MOL00014867-001623-04,MOL00014867-001623-04_1,0
MOL00014646-000381-03,MOL00014646-000381-03_1,0
MOL00014965-000978-03,MOL00014965-000978-03_1,0
MOL00015181-001107-04,MOL00015181-001107-04_1,0
MOL00015096-001124-03,MOL00015096-001124-03_1,0
MOL00014690-002723-02,MOL00014690-002723-02_1,0
MOL00014943-001740-03,MOL00014943-001740-03_1,0
MOL00015375-001206-03,MOL00015375-001206-03_1,0
MOL00015344-000478-03,MOL00015344-000478-03_1,0
MOL00015153-000256-03,MOL00015153-000256-03_1,0
MOL00015227-000130-02,MOL00015227-000130-02_1,0
MOL00015075-000019-04,MOL00015075-000019-04_1,0
MOL00015258-000003-04,MOL00015258-000003-04_1,0
MOL00015414-000588-02,MOL00015414-000588-02_1,0
MOL00014997-000175-04,MOL00014997-000175-04_1,0
MOL00015273-000204-04,MOL00015273-000204-04_1,0
MOL00015565-002236-02,MOL00015565-002236-02_1,0
MOL00015255-001599-02,MOL00015255-001599-02_1,0
MOL00015373-001509-04,MOL00015373-001509-04_1,0
MOL00015265-000032-02,MOL00015265-000032-02_1,0
MOL00015503-000128-02,MOL00015503-000128-02_1,0
MOL00015571-000733-02,MOL00015571-000733-02_1,0
MOL00015995-001904-03,MOL00015995-001904-03_1,0
MOL00016042-000129-03,MOL00016042-000129-03_1,0
MOL00015935-001384-04,MOL00015935-001384-04_1,0
MOL00016101-001161-03,MOL00016101-001161-03_1,0
MOL00016018-000183-04,MOL00016018-000183-04_1,0
